,bonus,deferral_payments,deferred_income,director_fees,exercised_stock_options,expenses,from_messages,from_poi_to_this_person,from_this_person_to_poi,long_term_incentive,other,poi,restricted_stock,restricted_stock_deferred,salary,shared_receipt_with_poi,to_messages
0,0.521875,0.45519895122,0.12080033421,0.0,0.0503529074323,0.0606216914449,0.152770044543,0.0890151515152,0.106732348112,0.0592379573812,1.46721984716e-05,0.0,0.157231836309,0.0963456735138,0.18173547457,0.254845136751,0.191563799591
1,0.0,0.0431090330179,1.0,0.0,0.00750594263765,0.0152384782504,0.0,0.0,0.0,0.0,0.0,0.0,0.149974801603,0.103654268494,0.0,0.0,0.0
2,0.0,0.0156980101049,0.998543539439,0.0,0.117797594204,0.24611060355,0.00201837416481,0.0738636363636,0.0,0.0,0.0834503489425,0.0,0.25118022474,0.0711657089239,0.000429243254042,0.0842238724869,0.0373622021256
3,0.15,0.214141992713,0.604479928866,0.0,0.194493691464,0.0489589662664,0.0,0.0,0.0,0.308245135396,0.256792721122,0.0,0.377008789035,0.103654268494,0.240360024405,0.0,0.0
4,0.05,0.0555870366598,0.942460391064,0.0,0.0,0.564523109069,0.0,0.0,0.0,0.0,6.66040588513e-06,0.0,0.158370198082,0.0988535503173,0.215675387714,0.0,0.0
5,0.0,0.120559798698,1.0,0.0,0.0465710701266,0.0,0.0,0.0,0.0,0.0182200374157,8.43651412117e-05,0.0,0.149974801603,0.103654268494,0.0727265855454,0.0,0.0
6,0.0875,0.0156980101049,1.0,0.0,0.0,0.162491311969,0.302268930958,0.272727272727,0.633825944171,0.0,5.46346337824e-05,0.0,0.157231836309,0.103654268494,0.208169479995,0.477993117189,0.482870156446
7,0.656249875,0.344056427072,0.333853633704,0.0,0.0277490783846,0.0758645410315,0.0336859688196,0.431818181818,0.177339901478,0.0,0.0203381767998,1.0,0.159048124792,0.103654268494,0.192573641765,1.0,0.527493563932
8,0.0,0.0,1.0,0.0238278303255,9.56376870597e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.149974801603,0.106211322764,0.0,0.0,0.0
9,0.0,0.0156980101049,1.0,0.0,0.0472917736101,0.0519839309679,0.0,0.0,0.0,0.0,0.0,0.0,0.200027248358,0.103654268494,0.19489803448,0.0,0.0
10,0.03125,0.0156980101049,0.861370008897,0.0,0.0,0.258673824001,0.00410634743875,0.00757575757576,0.0,0.0350310586046,0.041247797119,0.0,0.18793645167,0.103654268494,0.169107443996,0.0422024995472,0.0252821968447
11,0.0,0.0156980101049,1.0,1.0,0.075825692411,0.0,0.00201837416481,0.0,0.00164203612479,0.0,0.0133076840137,0.0,0.0,1.0,0.0,0.0838616192719,0.0345237309393
12,0.125,0.0156980101049,1.0,0.0,0.0426725752222,0.168554355381,0.00278396436526,0.0435606060606,0.0131362889984,0.0718541915026,0.0410906501512,0.0,0.171745963304,0.103654268494,0.192237086257,0.241985147618,0.106079609215
13,0.10625,0.0156980101049,1.0,0.0,0.0222809026474,0.368101484943,0.00097438752784,0.0473484848485,0.00328407224959,0.161659638429,2.62555130544e-05,0.0,0.160860382454,0.103654268494,0.223661831906,0.421300489042,0.163377120602
14,0.0,0.0156980101049,0.967530974042,0.825335112865,0.0,0.00559093909417,0.0,0.0,0.0,0.0,0.0,0.0,0.149974801603,0.103654268494,0.0,0.0,0.0
15,0.16875,0.0156980101049,0.999762297875,0.0,0.0,0.288101659796,0.00187917594655,0.265151515152,0.0246305418719,0.189350985748,0.00015647127449,1.0,0.164488928598,0.103654268494,0.250707756435,0.288534685745,0.122648359628
16,0.0,0.0156980101049,1.0,0.0,0.0,0.215454422262,0.00285356347439,0.0246212121212,0.00164203612479,0.0,0.0,0.0,0.149974801603,0.103654268494,0.0,0.137837348306,0.098092283319
17,0.0625,0.0156980101049,1.0,0.0,0.0240321058481,0.00262280176427,0.00869988864143,0.0,0.0,0.0592379573812,0.000117281060151,0.0,0.160860382454,0.103654268494,0.223185794838,0.00416591197247,0.0718199221071
18,0.09375,0.0156980101049,0.978598248024,0.0,0.0,0.0411342743363,0.0,0.0,0.0,0.0340107365093,0.0145424653483,0.0,0.174022629266,0.103654268494,0.235333288939,0.0,0.0
19,0.1125,0.11518265592,0.80171647758,0.0,0.0740300620839,0.0,0.0732878619154,0.295454545455,0.11658456486,0.149620420746,0.038666262409,0.0,0.201895073782,0.103654268494,0.297452076835,0.422568375294,0.232556604396
20,0.15625,0.0156980101049,0.925093868084,0.0,0.0,0.156572522654,0.0100222717149,0.376893939394,0.0410509031199,0.0729392311708,4.69124240605e-05,1.0,0.157231836309,0.103654268494,0.21614152609,0.396305017207,0.171496468414
21,0.0375,0.0156980101049,0.95440228331,0.0,0.0,0.0,0.00104398663697,0.0549242424242,0.0114942528736,0.0145760299326,5.21249156228e-05,0.0,0.167670168645,0.0858331782039,0.235596954083,0.0355008150697,0.0205954188395
22,0.125,0.0156980101049,0.932941177142,0.0,0.0,0.134086368862,0.00341035634744,0.109848484848,0.0197044334975,0.0680214730186,0.029720372029,1.0,0.294051531413,0.103654268494,0.373620707342,0.287085672885,0.124892732194
23,0.0,0.0156980101049,0.971811324437,0.716532234666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15184395144,0.101771838594,0.0,0.0,0.0
24,0.0,0.0156980101049,1.0,0.0,0.149269176681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.204720852894,0.103654268494,0.0,0.0,0.0
25,0.0,0.0156980101049,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.188099815135,0.0762489655624,0.0,0.0,0.0
